index,item_identifier,item_weight,item_type,item_fat_content,item_mrp,item_visibility,outlet_identifier,outlet_establishment_year,outlet_size_str,outlet_size_num,outlet_location_type,outlet_type,item_outlet_sales,outlet_item_revenue
564,FDX22,6.785,Snack Foods,Regular,211.0928,0.022970468,OUT035,2004,small,1,Tier 2,Supermarket Type1,4418.2488,932660.51
565,DRM11,6.57,Hard Drinks,Low Fat,259.7278,0.066014596,OUT013,1987,high,3,Tier 3,Supermarket Type1,2863.6058,743758.03
566,FDL58,5.78,Snack Foods,Regular,264.9568,0.07429945,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1845.5976,489003.63
567,FDL25,6.92,Breakfast,Regular,93.1804,0.131128467,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1561.9668,145544.69
568,FDD40,20.25,Dairy,Regular,194.1162,0.014816356,OUT049,1999,medium,2,Tier 1,Supermarket Type1,3848.324,747022.03
569,FDT08,13.65,Fruits and Vegetables,Low Fat,149.005,0.049318315,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2097.27,312503.72
570,FDO22,13.5,Snack Foods,Regular,81.596,0.017960492,OUT017,2007,medium,2,Tier 2,Supermarket Type1,639.168,52153.55
571,NCM41,16.5,Health and Hygiene,Low Fat,92.612,0.035801238,OUT018,2009,medium,2,Tier 3,Supermarket Type2,559.272,51795.3
572,FDJ21,16.7,Snack Foods,Regular,146.5102,0.038606365,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2770.3938,405890.95
573,FDC53,8.68,Frozen Foods,Low Fat,99.7384,0.008871687,OUT018,2009,medium,2,Tier 3,Supermarket Type2,295.6152,29484.19
574,DRK35,12.6,Hard Drinks,Low Fat,36.2506,0.125793938,OUT019,1985,small,1,Tier 1,Grocery Store,37.9506,1375.73
575,FDQ09,7.235,Snack Foods,Low Fat,115.2834,0.058369013,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1267.0174,146066.07
576,DRB48,16.75,Soft Drinks,Regular,39.3822,0.0,OUT046,1997,small,1,Tier 1,Supermarket Type1,353.5398,13923.18
577,DRE25,15.35,Soft Drinks,Low Fat,92.112,0.073269336,OUT035,2004,small,1,Tier 2,Supermarket Type1,1118.544,103031.32
578,FDL08,10.8,Fruits and Vegetables,Low Fat,245.9144,0.049677651,OUT013,1987,high,3,Tier 3,Supermarket Type1,4655.2736,1144798.81
579,NCV42,6.26,Household,Low Fat,110.2228,0.031470832,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1547.3192,170549.85
580,FDW03,5.63,Meat,Regular,105.3306,0.024579432,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1045.306,110102.71
581,FDL25,6.92,Breakfast,Regular,91.8804,0.131665479,OUT017,2007,medium,2,Tier 2,Supermarket Type1,275.6412,25326.02
582,FDC17,12.15,Frozen Foods,Low Fat,212.0928,0.015523707,OUT018,2009,medium,2,Tier 3,Supermarket Type2,2735.1064,580096.37
583,FDK44,16.6,Fruits and Vegetables,Low Fat,175.5738,0.122475364,OUT045,2002,medium,2,Tier 2,Supermarket Type1,347.5476,61020.25
584,FDE34,9.195,Snack Foods,Low Fat,182.7634,0.107891398,OUT046,1997,small,1,Tier 1,Supermarket Type1,3817.0314,697613.64
585,FDP10,19.0,Snack Foods,Low Fat,104.3622,0.128065918,OUT035,2004,small,1,Tier 2,Supermarket Type1,1905.5196,198864.22
586,FDZ22,9.395,Snack Foods,Low Fat,83.825,0.045361705,OUT045,2002,medium,2,Tier 2,Supermarket Type1,665.8,55810.68
587,NCK19,9.8,Others,Low Fat,192.1478,0.090390357,OUT013,1987,high,3,Tier 3,Supermarket Type1,2324.9736,446738.56
588,FDO44,12.6,Fruits and Vegetables,Low Fat,109.2228,0.087029712,OUT027,1985,medium,2,Tier 3,Supermarket Type3,3205.1612,350076.68
589,NCU41,18.85,Health and Hygiene,Low Fat,189.1846,0.052054819,OUT046,1997,small,1,Tier 1,Supermarket Type1,2101.9306,397652.9
590,NCF31,9.13,Household,Low Fat,152.3024,0.051952573,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1821.6288,277438.44
591,FDG14,9.0,Canned,Regular,152.2024,0.050786366,OUT017,2007,medium,2,Tier 2,Supermarket Type1,3643.2576,554512.55
592,NCH30,17.1,Household,Low Fat,114.586,0.067141355,OUT035,2004,small,1,Tier 2,Supermarket Type1,2942.836,337207.81
593,FDR36,6.715,Baking Goods,Regular,40.2454,0.121485195,OUT013,1987,high,3,Tier 3,Supermarket Type1,587.2356,23633.53
594,NCJ30,5.82,Household,Low Fat,167.779,0.080640478,OUT046,1997,small,1,Tier 1,Supermarket Type1,2886.243,484250.96
595,FDR08,18.7,Fruits and Vegetables,Low Fat,110.2886,0.037699254,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2223.772,245256.7
596,FDU04,7.93,Frozen Foods,Low Fat,123.2414,0.0,OUT018,2009,medium,2,Tier 3,Supermarket Type2,487.3656,60063.62
597,NCQ50,18.75,Household,Low Fat,211.7218,0.034501405,OUT017,2007,medium,2,Tier 2,Supermarket Type1,5770.4886,1221738.23
598,FDL46,12.6,Snack Foods,Low Fat,117.7466,0.053795154,OUT027,1985,medium,2,Tier 3,Supermarket Type3,1414.1592,166512.44
599,DRK37,5.0,Soft Drinks,Low Fat,188.853,0.044004675,OUT046,1997,small,1,Tier 1,Supermarket Type1,5502.837,1039227.28
600,FDK48,7.445,Baking Goods,Low Fat,76.8354,0.0,OUT046,1997,small,1,Tier 1,Supermarket Type1,2181.8266,167641.52
601,FDV58,20.85,Snack Foods,Low Fat,193.9452,0.121250374,OUT046,1997,small,1,Tier 1,Supermarket Type1,1565.9616,303710.74
602,FDN27,20.85,Meat,Low Fat,115.1808,0.0,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1054.6272,121472.8
603,FDZ52,19.2,Frozen Foods,Low Fat,112.9886,0.100230114,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1667.829,188445.66
604,NCF42,17.35,Household,Low Fat,175.6712,0.167383061,OUT046,1997,small,1,Tier 1,Supermarket Type1,2812.3392,494047.0
605,FDQ48,14.3,Baking Goods,Regular,98.1726,0.034404732,OUT035,2004,small,1,Tier 2,Supermarket Type1,489.363,48042.04
606,FDW49,19.5,Canned,Low Fat,179.3002,0.082719632,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2865.6032,513803.23
607,FDR58,6.675,Snack Foods,Low Fat,90.7462,0.041913535,OUT035,2004,small,1,Tier 2,Supermarket Type1,1665.8316,151167.89
608,NCE07,8.18,Household,Low Fat,143.8154,0.0132043,OUT017,2007,medium,2,Tier 2,Supermarket Type1,2694.4926,387509.53
609,FDK14,6.98,Canned,Low Fat,83.4934,0.041105789,OUT046,1997,small,1,Tier 1,Supermarket Type1,1555.9746,129913.61
610,FDC11,12.6,Starchy Foods,Low Fat,87.9172,0.141106202,OUT027,1985,medium,2,Tier 3,Supermarket Type3,3836.3396,337280.24
611,FDL22,16.85,Snack Foods,Low Fat,90.7488,0.036463975,OUT045,2002,medium,2,Tier 2,Supermarket Type1,543.2928,49303.17
612,NCQ41,14.8,Health and Hygiene,Low Fat,196.3794,0.01946418,OUT013,1987,high,3,Tier 3,Supermarket Type1,1950.794,383095.76
613,FDX46,12.3,Snack Foods,Regular,57.3562,0.0,OUT013,1987,high,3,Tier 3,Supermarket Type1,177.7686,10196.13
614,FDC35,7.435,Starchy Foods,Low Fat,206.9638,0.123086812,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1035.319,214273.55
615,FDH45,15.1,Fruits and Vegetables,Regular,42.8796,0.105646853,OUT035,2004,small,1,Tier 2,Supermarket Type1,949.4308,40711.21
616,FDX33,9.195,Snack Foods,Regular,160.5578,0.118149377,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1283.6624,206102.01
617,DRJ35,10.1,Hard Drinks,Low Fat,59.9878,0.046545786,OUT013,1987,high,3,Tier 3,Supermarket Type1,484.7024,29076.23
618,FDC40,16.0,Dairy,Regular,79.5986,0.065009745,OUT013,1987,high,3,Tier 3,Supermarket Type1,934.7832,74407.43
619,FDO19,17.7,Fruits and Vegetables,Regular,48.1034,0.016630303,OUT045,2002,medium,2,Tier 2,Supermarket Type1,534.6374,25717.88
620,FDP13,8.1,Canned,Regular,39.448,0.134532392,OUT049,1999,medium,2,Tier 1,Supermarket Type1,878.856,34669.11
621,FDP24,20.6,Baking Goods,Low Fat,120.1756,0.083133128,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1332.9316,160185.85
622,NCQ42,20.35,Household,Low Fat,127.9678,0.039428167,OUT018,2009,medium,2,Tier 3,Supermarket Type2,3560.6984,455654.74
623,FDY59,8.195,Baking Goods,Low Fat,93.1462,0.0,OUT018,2009,medium,2,Tier 3,Supermarket Type2,647.8234,60342.29
624,FDU14,17.75,Dairy,Low Fat,248.675,0.034823127,OUT045,2002,medium,2,Tier 2,Supermarket Type1,4993.5,1241758.61
625,FDB21,7.475,Fruits and Vegetables,Low Fat,240.6854,0.148492521,OUT035,2004,small,1,Tier 2,Supermarket Type1,1691.7978,407191.03
626,FDT32,19.0,Fruits and Vegetables,Regular,188.7214,0.065901299,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1695.7926,320032.35
627,FDK20,12.6,Fruits and Vegetables,Regular,124.0072,0.041622264,OUT049,1999,medium,2,Tier 1,Supermarket Type1,4042.7376,501328.57
628,FDX09,12.6,Snack Foods,Low Fat,174.837,0.064933297,OUT027,1985,medium,2,Tier 3,Supermarket Type3,4763.799,832888.33
629,FDM01,7.895,Breakfast,Regular,102.6332,0.0945493,OUT035,2004,small,1,Tier 2,Supermarket Type1,1640.5312,168372.97
630,DRI37,12.6,Soft Drinks,Low Fat,58.7904,0.107076832,OUT027,1985,medium,2,Tier 3,Supermarket Type3,1288.9888,75780.17
631,FDL20,17.1,Fruits and Vegetables,Low Fat,112.3886,0.128674983,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2334.9606,262422.95
632,FDU13,8.355,Canned,Low Fat,148.5418,0.188322664,OUT018,2009,medium,2,Tier 3,Supermarket Type2,2207.127,327850.62
633,FDE05,12.6,Frozen Foods,Regular,145.2102,0.0,OUT019,1985,small,1,Tier 1,Grocery Store,437.4306,63519.38
634,FDE58,18.5,Snack Foods,Low Fat,118.4124,0.052025392,OUT013,1987,high,3,Tier 3,Supermarket Type1,2370.248,280666.75
635,FDT32,12.6,Fruits and Vegetables,Regular,189.9214,0.065316099,OUT027,1985,medium,2,Tier 3,Supermarket Type3,5087.3778,966201.91
636,FDZ01,8.975,Canned,Regular,101.899,0.01516265,OUT010,1998,medium,2,Tier 3,Grocery Store,103.199,10515.87
637,FDM08,10.1,Fruits and Vegetables,Regular,224.4088,0.053584207,OUT046,1997,small,1,Tier 1,Supermarket Type1,4697.8848,1054246.69
638,FDS58,9.285,Snack Foods,Regular,158.6578,0.020989132,OUT013,1987,high,3,Tier 3,Supermarket Type1,2406.867,381868.22
639,FDZ26,11.6,Dairy,Regular,238.3222,0.144017405,OUT046,1997,small,1,Tier 1,Supermarket Type1,5736.5328,1367143.12
640,FDC46,12.6,Snack Foods,Low Fat,183.4266,0.115978122,OUT027,1985,medium,2,Tier 3,Supermarket Type3,7192.6374,1319321.02
641,FDY51,12.5,Meat,Low Fat,220.7798,0.081465335,OUT018,2009,medium,2,Tier 3,Supermarket Type2,6611.394,1459662.25
642,FDL34,16.0,Snack Foods,Low Fat,142.3496,0.041177505,OUT017,2007,medium,2,Tier 2,Supermarket Type1,3246.4408,462129.55
643,DRG39,14.15,Dairy,Low Fat,51.6982,0.042352822,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1262.3568,65261.57
644,NCG43,20.2,Household,Low Fat,94.1462,0.074541867,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1758.3778,165544.59
645,FDT01,13.65,Canned,Regular,211.5902,0.18454121,OUT045,2002,medium,2,Tier 2,Supermarket Type1,4672.5844,988673.07
646,NCR38,17.25,Household,Low Fat,253.1724,0.114160573,OUT017,2007,medium,2,Tier 2,Supermarket Type1,3775.086,955747.58
647,DRF01,5.655,Soft Drinks,Low Fat,147.4102,0.175352413,OUT049,1999,medium,2,Tier 1,Supermarket Type1,2478.7734,365396.48
648,FDF53,20.75,Frozen Foods,Regular,182.2318,0.083590755,OUT035,2004,small,1,Tier 2,Supermarket Type1,3067.3406,558967.0
649,FDS45,5.175,Snack Foods,Regular,105.4622,0.029471408,OUT013,1987,high,3,Tier 3,Supermarket Type1,3281.7282,346098.28
650,FDR20,20.0,Fruits and Vegetables,Regular,46.2744,0.028282832,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1086.5856,50281.1
651,FDY07,11.8,Fruits and Vegetables,Low Fat,46.5402,0.0,OUT010,1998,medium,2,Tier 3,Grocery Store,229.701,10690.33
652,FDD38,16.75,Canned,Regular,102.8674,0.008208342,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1528.011,157182.52
653,DRF15,18.35,Dairy,Low Fat,155.034,0.03334929,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1990.742,308632.7
654,FDH32,12.8,Fruits and Vegetables,Low Fat,95.141,0.076060037,OUT046,1997,small,1,Tier 1,Supermarket Type1,868.869,82665.07
655,NCJ42,19.75,Household,Low Fat,103.0332,0.014301326,OUT046,1997,small,1,Tier 1,Supermarket Type1,1230.3984,126771.88
656,FDB56,8.75,Fruits and Vegetables,Regular,187.6556,0.074931201,OUT018,2009,medium,2,Tier 3,Supermarket Type2,938.778,176166.95
657,FDD03,13.3,Dairy,Low Fat,234.03,0.080131363,OUT018,2009,medium,2,Tier 3,Supermarket Type2,4194.54,981648.2
658,NCL18,18.85,Household,Low Fat,194.6136,0.167444431,OUT013,1987,high,3,Tier 3,Supermarket Type1,1166.4816,227013.18
659,FDW22,9.695,Snack Foods,Regular,222.9114,0.03033748,OUT049,1999,medium,2,Tier 1,Supermarket Type1,5764.4964,1284971.96
660,FDE32,20.7,Fruits and Vegetables,Low Fat,37.5506,0.04874969,OUT035,2004,small,1,Tier 2,Supermarket Type1,113.8518,4275.2
661,FDA34,12.6,Starchy Foods,Low Fat,174.408,0.014788594,OUT027,1985,medium,2,Tier 3,Supermarket Type3,7443.644,1298231.06
662,FDJ08,11.1,Fruits and Vegetables,Low Fat,191.7846,0.111298111,OUT017,2007,medium,2,Tier 2,Supermarket Type1,3057.3536,586353.34
663,FDG38,8.975,Canned,Regular,83.3224,0.05268526,OUT013,1987,high,3,Tier 3,Supermarket Type1,3579.3408,298239.27
664,FDD29,12.15,Frozen Foods,Low Fat,253.1698,0.018485511,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1522.0188,385329.2
665,NCE31,7.67,Household,Low Fat,35.4216,0.184689756,OUT013,1987,high,3,Tier 3,Supermarket Type1,450.0808,15942.58
666,FDS19,13.8,Fruits and Vegetables,Regular,76.9012,0.064153845,OUT013,1987,high,3,Tier 3,Supermarket Type1,607.2096,46695.15
667,FDU11,4.785,Breads,Low Fat,120.1098,0.092516598,OUT013,1987,high,3,Tier 3,Supermarket Type1,1325.6078,159218.49
668,FDL02,20.0,Canned,Regular,105.3622,0.104245198,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1270.3464,133846.49
669,FDO51,12.6,Meat,Regular,43.4112,0.041779181,OUT027,1985,medium,2,Tier 3,Supermarket Type3,1107.8912,48094.89
670,DRK23,8.395,Hard Drinks,Low Fat,254.104,0.07226985,OUT018,2009,medium,2,Tier 3,Supermarket Type2,3542.056,900050.6
671,FDO27,6.175,Meat,Regular,95.2752,0.179806961,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1534.0032,146152.46
672,FDB16,8.21,Dairy,Low Fat,89.2198,0.044995631,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1308.297,116726.0
673,FDA44,19.7,Fruits and Vegetables,Low Fat,55.393,0.053523765,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1471.418,81506.26
674,NCB18,19.6,Household,Low Fat,89.6514,0.041459372,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1239.7196,111142.6
675,NCL53,7.5,Health and Hygiene,Low Fat,175.3028,0.036234918,OUT046,1997,small,1,Tier 1,Supermarket Type1,3896.2616,683025.57
676,FDR16,5.845,Frozen Foods,Regular,214.4218,0.105445801,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1496.0526,320786.29
677,NCQ05,11.395,Health and Hygiene,Low Fat,151.6708,0.0,OUT013,1987,high,3,Tier 3,Supermarket Type1,3460.8284,524906.61
678,FDF44,7.17,Fruits and Vegetables,Regular,132.1968,0.05997133,OUT018,2009,medium,2,Tier 3,Supermarket Type2,2870.9296,379527.71
679,FDU50,5.75,Dairy,Regular,114.7176,0.075595405,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1259.6936,144509.03
680,FDG20,15.5,Fruits and Vegetables,Regular,178.2028,0.210375806,OUT010,1998,medium,2,Tier 3,Grocery Store,177.1028,31560.21
681,FDD58,7.76,Snack Foods,Low Fat,99.77,0.059341019,OUT035,2004,small,1,Tier 2,Supermarket Type1,798.96,79712.24
682,FDT01,13.65,Canned,Regular,212.9902,0.18520944,OUT017,2007,medium,2,Tier 2,Supermarket Type1,3185.853,678555.47
683,FDK15,10.8,Meat,Low Fat,98.3042,0.098566832,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1488.063,146282.84
684,FDJ08,11.1,Fruits and Vegetables,Low Fat,189.2846,0.11084417,OUT049,1999,medium,2,Tier 1,Supermarket Type1,5159.2842,976573.05
685,FDS10,12.6,Snack Foods,Low Fat,182.0318,0.0350152,OUT027,1985,medium,2,Tier 3,Supermarket Type3,5954.2494,1083862.74
686,FDJ55,12.8,Meat,Regular,226.8404,0.023567538,OUT049,1999,medium,2,Tier 1,Supermarket Type1,4500.808,1020965.09
687,FDU32,8.785,Fruits and Vegetables,Low Fat,123.0414,0.0,OUT010,1998,medium,2,Tier 3,Grocery Store,121.8414,14991.54
688,FDG09,20.6,Fruits and Vegetables,Regular,185.9556,0.04792722,OUT035,2004,small,1,Tier 2,Supermarket Type1,4318.3788,803026.72
689,FDE39,7.89,Dairy,Low Fat,121.0782,0.036207786,OUT045,2002,medium,2,Tier 2,Supermarket Type1,3456.1678,418466.58
690,FDU56,16.85,Fruits and Vegetables,Low Fat,185.8266,0.044377096,OUT013,1987,high,3,Tier 3,Supermarket Type1,1659.8394,308442.31
691,NCH55,16.35,Household,Low Fat,127.402,0.034742632,OUT045,2002,medium,2,Tier 2,Supermarket Type1,759.012,96699.65
692,FDX33,12.6,Snack Foods,Regular,159.4578,0.116915909,OUT027,1985,medium,2,Tier 3,Supermarket Type3,4974.1918,793173.68
693,FDR24,17.35,Baking Goods,Regular,87.983,0.062979148,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1707.777,150255.34
694,FDC33,12.6,Fruits and Vegetables,Regular,197.3768,0.068604503,OUT027,1985,medium,2,Tier 3,Supermarket Type3,7488.9184,1478138.75
695,NCV54,12.6,Household,Low Fat,116.8124,0.03294861,OUT027,1985,medium,2,Tier 3,Supermarket Type3,2488.7604,290718.08
696,NCQ02,12.6,Household,Low Fat,186.7556,0.007450258,OUT013,1987,high,3,Tier 3,Supermarket Type1,2816.334,525966.15
697,NCU17,5.32,Health and Hygiene,Low Fat,101.4674,0.093027718,OUT049,1999,medium,2,Tier 1,Supermarket Type1,2954.1546,299750.39
698,NCZ06,12.6,Household,Low Fat,255.2698,0.164864915,OUT019,1985,small,1,Tier 1,Grocery Store,761.0094,194262.72
699,FDV37,13.0,Canned,Regular,199.4426,0.083498083,OUT035,2004,small,1,Tier 2,Supermarket Type1,593.2278,118314.89
700,DRH25,12.6,Soft Drinks,Low Fat,50.2324,0.014522363,OUT027,1985,medium,2,Tier 3,Supermarket Type3,1298.31,65217.23
701,NCI43,19.85,Household,Low Fat,46.3376,0.025963795,OUT035,2004,small,1,Tier 2,Supermarket Type1,1150.5024,53311.52
702,NCQ53,17.6,Health and Hygiene,Low Fat,237.159,0.019012262,OUT017,2007,medium,2,Tier 2,Supermarket Type1,3072.667,728710.63
703,NCT18,14.6,Household,Low Fat,181.7976,0.059393919,OUT035,2004,small,1,Tier 2,Supermarket Type1,3259.7568,592615.96
704,FDF14,7.55,Canned,Low Fat,152.734,0.027212058,OUT049,1999,medium,2,Tier 1,Supermarket Type1,2756.412,420997.83
705,FDM14,13.8,Canned,Low Fat,106.9254,0.013263968,OUT046,1997,small,1,Tier 1,Supermarket Type1,2930.1858,313311.29
706,FDX57,17.25,Snack Foods,Regular,99.2068,0.079113947,OUT010,1998,medium,2,Tier 3,Grocery Store,97.2068,9643.58
707,NCV05,10.1,Health and Hygiene,Low Fat,153.1656,0.03020851,OUT046,1997,small,1,Tier 1,Supermarket Type1,1544.656,236588.16
708,FDX39,14.3,Meat,Regular,212.5586,0.049634817,OUT013,1987,high,3,Tier 3,Supermarket Type1,3165.879,672934.81
709,FDA23,9.8,Baking Goods,Low Fat,100.6016,0.047187038,OUT046,1997,small,1,Tier 1,Supermarket Type1,1619.2256,162896.69
710,NCV06,11.3,Household,Low Fat,194.4478,0.066681333,OUT046,1997,small,1,Tier 1,Supermarket Type1,387.4956,75347.67
711,NCE31,7.67,Household,Low Fat,36.3216,0.185218446,OUT045,2002,medium,2,Tier 2,Supermarket Type1,415.4592,15090.14
712,DRI39,13.8,Dairy,Low Fat,55.893,0.162462044,OUT010,1998,medium,2,Tier 3,Grocery Store,226.372,12652.61
713,FDH21,10.395,Seafood,Low Fat,160.0604,0.031273559,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1267.6832,202905.88
714,FDR26,20.7,Dairy,Low Fat,175.8028,0.042836778,OUT046,1997,small,1,Tier 1,Supermarket Type1,1593.9252,280216.51
715,FDA14,12.6,Dairy,Low Fat,147.176,0.114127418,OUT019,1985,small,1,Tier 1,Grocery Store,585.904,86231.01
716,FDG21,17.35,Seafood,Regular,149.605,0.146895866,OUT018,2009,medium,2,Tier 3,Supermarket Type2,3745.125,560289.43
717,NCQ38,16.35,Others,Low Fat,104.828,0.013420879,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1810.976,189840.99
718,FDN20,19.35,Fruits and Vegetables,Low Fat,167.0474,0.026181893,OUT046,1997,small,1,Tier 1,Supermarket Type1,2358.2636,393941.8
719,NCN29,15.2,Health and Hygiene,Low Fat,50.3034,0.012184999,OUT017,2007,medium,2,Tier 2,Supermarket Type1,145.8102,7334.75
720,FDI28,14.3,Frozen Foods,Low Fat,78.2302,0.026428924,OUT018,2009,medium,2,Tier 3,Supermarket Type2,554.6114,43387.36
721,FDA03,12.6,Dairy,Regular,146.8102,0.045243613,OUT027,1985,medium,2,Tier 3,Supermarket Type3,3499.4448,513754.19
722,FDZ28,20.0,Frozen Foods,Regular,127.3678,0.0,OUT046,1997,small,1,Tier 1,Supermarket Type1,1780.3492,226759.16
723,FDO52,12.6,Frozen Foods,Regular,172.1106,0.076790922,OUT027,1985,medium,2,Tier 3,Supermarket Type3,2566.659,441749.22
724,FDU10,10.1,Snack Foods,Regular,38.2848,0.045950475,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1230.3984,47105.56
725,FDP13,12.6,Canned,Regular,41.548,0.133673087,OUT027,1985,medium,2,Tier 3,Supermarket Type3,918.804,38174.47
726,FDV02,12.6,Dairy,Low Fat,170.7106,0.060252433,OUT027,1985,medium,2,Tier 3,Supermarket Type3,3079.9908,525787.08
727,FDS28,8.18,Frozen Foods,Regular,56.9588,0.082529704,OUT049,1999,medium,2,Tier 1,Supermarket Type1,744.3644,42398.1
728,FDW49,19.5,Canned,Low Fat,179.8002,0.082552214,OUT046,1997,small,1,Tier 1,Supermarket Type1,716.4008,128809.01
729,FDP33,18.7,Snack Foods,Low Fat,254.7672,0.089272253,OUT046,1997,small,1,Tier 1,Supermarket Type1,5113.344,1302712.33
730,FDJ03,12.35,Dairy,Regular,48.5692,0.072541731,OUT045,2002,medium,2,Tier 2,Supermarket Type1,886.8456,43073.38
731,FDQ51,16.0,Meat,Regular,45.5718,0.017536671,OUT013,1987,high,3,Tier 3,Supermarket Type1,1039.9796,47393.74
732,DRK23,8.395,Hard Drinks,Low Fat,253.704,0.072088552,OUT049,1999,medium,2,Tier 1,Supermarket Type1,4554.072,1155386.28
733,FDU11,4.785,Breads,Low Fat,119.7098,0.092781435,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1807.647,216393.06
734,NCK06,5.03,Household,Low Fat,122.6756,0.008644894,OUT035,2004,small,1,Tier 2,Supermarket Type1,2665.8632,327036.37
735,FDY09,15.6,Snack Foods,Low Fat,174.3054,0.025342692,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1751.054,305218.17
736,NCY18,7.285,Household,Low Fat,173.6054,0.031145743,OUT035,2004,small,1,Tier 2,Supermarket Type1,2626.581,455988.65
737,FDA10,20.35,Snack Foods,Low Fat,120.9072,0.0,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1470.0864,177744.03
738,FDO34,17.7,Snack Foods,Low Fat,165.9816,0.030108283,OUT017,2007,medium,2,Tier 2,Supermarket Type1,4362.3216,724065.12
739,FDE38,12.6,Canned,Low Fat,164.3842,0.044391149,OUT027,1985,medium,2,Tier 3,Supermarket Type3,4476.1734,735812.18
740,FDF40,20.25,Dairy,Regular,248.4092,0.022639471,OUT017,2007,medium,2,Tier 2,Supermarket Type1,2241.0828,556705.59
741,FDY02,8.945,Dairy,Regular,264.791,0.0,OUT017,2007,medium,2,Tier 2,Supermarket Type1,4733.838,1253477.7
742,FDS03,12.6,Meat,Low Fat,66.0826,0.139419417,OUT019,1985,small,1,Tier 1,Grocery Store,258.3304,17071.14
743,FDB59,18.25,Snack Foods,Low Fat,199.0084,0.015278899,OUT046,1997,small,1,Tier 1,Supermarket Type1,3174.5344,631759.01
744,NCQ42,20.35,Household,Low Fat,127.6678,0.039329257,OUT049,1999,medium,2,Tier 1,Supermarket Type1,2924.8594,373410.36
745,FDO15,16.75,Meat,Regular,72.3038,0.008579863,OUT049,1999,medium,2,Tier 1,Supermarket Type1,960.7494,69465.83
746,DRN47,12.1,Hard Drinks,Low Fat,178.166,0.028164527,OUT010,1998,medium,2,Tier 3,Grocery Store,539.298,96084.57
747,FDA03,18.5,Dairy,Regular,144.2102,0.0,OUT035,2004,small,1,Tier 2,Supermarket Type1,2041.3428,294382.45
748,FDA01,15.0,Canned,Regular,58.5904,0.054367971,OUT035,2004,small,1,Tier 2,Supermarket Type1,996.0368,58358.19
749,FDB38,19.5,Canned,Regular,158.992,0.0273467,OUT046,1997,small,1,Tier 1,Supermarket Type1,1757.712,279462.15
750,FDT59,13.65,Breads,Low Fat,230.6668,0.016001434,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1842.9344,425103.78
751,FDG08,13.15,Fruits and Vegetables,Regular,170.6764,0.165328057,OUT035,2004,small,1,Tier 2,Supermarket Type1,3435.528,586363.55
752,FDV56,12.6,Fruits and Vegetables,Regular,106.2596,0.013529884,OUT027,1985,medium,2,Tier 3,Supermarket Type3,1402.1748,148994.53
753,FDY26,20.6,Dairy,Regular,211.4244,0.030510526,OUT046,1997,small,1,Tier 1,Supermarket Type1,7833.8028,1656257.06
754,DRE13,6.28,Soft Drinks,Low Fat,87.9198,0.027699863,OUT035,2004,small,1,Tier 2,Supermarket Type1,1221.0772,107356.86
755,FDE51,5.925,Dairy,Regular,42.8086,0.09646733,OUT046,1997,small,1,Tier 1,Supermarket Type1,669.129,28644.48
756,FDL40,17.7,Frozen Foods,Low Fat,94.541,0.011636708,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1061.951,100397.91
757,FDD50,18.85,Canned,Low Fat,168.1132,0.141642219,OUT046,1997,small,1,Tier 1,Supermarket Type1,2874.9244,483312.74
